"row_id" "bdmId" "NInCat" "hostFlag" "x" "y" "z" "np" "Mvir" "Mtot" "Rvir" "conc"
"39" 39 41603170594 3170594 -1 28.5820007324219 186.68229675293 98.6219024658203 33 4.472e+09 4607000064 0.0344999991357327 17.4599990844727
"40" 40 41603168384 3168384 -1 29.2943000793457 187.100402832031 98.7578964233398 20 2710000128 2710000128 0.0288999993354082 3.09400010108948
"41" 41 41603178204 3178204 -1 28.582799911499 186.054702758789 98.076301574707 30 4064999936 4.336e+09 0.0337999984622002 7.8289999961853
"42" 42 41603178234 3178234 -1 28.2936000823975 185.595993041992 97.8884963989258 62 8400999936 8.672e+09 0.0425000004470348 7.39599990844727
"43" 43 41603153534 3153534 41603154582 27.5548992156982 186.202301025391 97.7947006225586 20 2710000128 7994999808 0.0408000014722347 8.24600028991699
"44" 44 41603167294 3167294 -1 27.9375 186.135101318359 99.2851028442383 26 3523000064 3523000064 0.0315999984741211 2.64499998092651
"45" 45 41603171574 3171574 -1 28.0977001190186 187.420104980469 98.8780975341797 71 9621000192 11790000128 0.0472000017762184 17.2399997711182
"46" 46 41603155614 3155614 -1 28.0599002838135 187.050506591797 98.8387985229492 430 58269999104 66800001024 0.0841000005602837 21.6900005340576
"47" 47 41603160454 3160454 41603159554 28.0753993988037 187.075103759766 99.4279022216797 52 7046000128 7317000192 0.0111999996006489 2.34100008010864
"48" 48 41603177074 3177074 -1 27.8483009338379 187.011596679688 98.1232986450195 47 6368999936 6775000064 0.0392999984323978 14.2299995422363
"49" 49 41603145784 3145784 -1 27.013500213623 185.372406005859 96.7578964233398 33 4.472e+09 4.472e+09 0.0342000015079975 16.3999996185303
"50" 50 41603151924 3151924 -1 27.3024005889893 185.41259765625 97.1995010375977 220 29809999872 31439998976 0.0653999969363213 18.1000003814697
"51" 51 41603172534 3172534 -1 24.8654003143311 184.034606933594 97.4300994873047 21 2846000128 2980999936 0.029899999499321 7.96400022506714
"52" 52 41603158094 3158094 -1 24.3402004241943 183.742706298828 95.9739990234375 1557 211000000512 212500004864 0.12389999628067 5.66400003433228
"53" 53 41603160004 3160004 -1 24.2455997467041 187.251403808594 97.1134033203125 78 10570000384 10700000256 0.0456999987363815 8.10999965667725
"54" 54 41603159534 3159534 -1 24.3339004516602 185.806198120117 96.4721984863281 20 2710000128 2710000128 0.0288999993354082 4.55399990081787
"55" 55 41603146424 3146424 -1 27.2779006958008 185.729705810547 95.9662017822266 33 4.472e+09 4.472e+09 0.0342000015079975 4.94199991226196
"56" 56 41603155634 3155634 -1 25.4349002838135 186.596801757812 97.5960998535156 30 4064999936 4064999936 0.033100001513958 12.3000001907349
"57" 57 41603146974 3146974 -1 26.9559001922607 186.097305297852 95.6613998413086 20 2710000128 2710000128 0.0288999993354082 2.50200009346008
"58" 58 41603164974 3164974 -1 26.5529003143311 181.772903442383 95.3936004638672 48 6.504e+09 7046000128 0.0397999994456768 16.7900009155273
"59" 59 41603157104 3157104 -1 25.6809997558594 182.002700805664 95.0661010742188 400 54200000512 76829999104 0.0747999995946884 14.1800003051758
"60" 60 41603150234 3150234 41603157077 25.2350997924805 181.927703857422 95.2565994262695 80 10840000512 2336000049152 0.0291000008583069 12.3800001144409
"61" 61 41603152444 3152444 41603157077 24.7224006652832 181.731994628906 95.3253021240234 171 23170000896 601400016896 0.124700002372265 115.800003051758
"62" 62 41603161714 3161714 -1 23.6438999176025 182.039596557617 95.432502746582 91 12330000384 12600000512 0.048200000077486 17.8799991607666
"63" 63 41603146894 3146894 -1 24.5599994659424 181.531997680664 95.6036987304688 629 85230002176 95800000512 0.0948999971151352 19.2600002288818
"64" 64 41603145754 3145754 41603145208 24.5153007507324 181.326293945312 95.2067031860352 146 19779999744 3.008e+10 0.0267999991774559 6.37799978256226
